lat,lon,value
25.0,47.75,-2.5099792
25.0,48.0,-2.2668152
25.0,48.25,-2.0470886
25.0,48.5,-1.7912292
25.0,48.75,-1.1974792
25.0,49.0,-0.54415894
25.0,49.25,0.3406067
25.0,49.5,0.8044739
25.0,49.75,0.75271606
25.0,50.0,0.8640442
25.0,50.25,1.1902161
25.0,50.5,1.4118958
25.0,50.75,1.3034973
25.0,51.0,1.0281067
25.0,51.25,1.6003723
25.0,51.5,2.1540833
25.0,51.75,2.4167786
25.0,52.0,2.3074036
25.0,52.25,2.150177
25.0,52.5,2.1560364
25.0,52.75,2.4148254
25.0,53.0,2.7097473
25.0,53.25,3.040802
25.0,53.5,3.4968567
25.0,53.75,3.8767395
25.0,54.0,4.241974
25.0,54.25,4.455841
25.0,54.5,4.382599
25.0,54.75,4.074005
25.0,55.0,3.009552
25.0,55.25,1.6911926
25.0,55.5,0.36502075
25.0,55.75,-0.30880737
25.0,56.0,0.9753723
25.0,56.25,1.9802551
25.0,56.5,2.2966614
25.0,56.75,1.9978333
25.0,57.0,1.7195129
25.0,57.25,1.9656067
25.0,57.5,2.2390442
25.0,57.75,2.3122864
25.0,58.0,1.7722473
25.0,58.25,0.8279114
25.0,58.5,-0.3449402
25.0,58.75,-0.3996277
25.0,59.0,-0.12911987
25.0,59.25,0.478302
25.0,59.5,0.94021606
25.0,59.75,1.3367004
25.0,60.0,1.7243958
25.0,60.25,1.8992004
25.0,60.5,1.8855286
25.0,60.75,1.3093567
25.0,61.0,0.44607544
25.0,61.25,-0.46115112
25.0,61.5,-0.724823
25.0,61.75,-0.49240112
25.0,62.0,-0.36740112
25.0,62.25,-0.46603394
25.0,62.5,-0.4308777
25.0,62.75,-0.3703308
25.0,63.0,-0.271698
25.0,63.25,-0.2511902
25.0,63.5,0.022247314
25.0,63.75,0.22146606
25.0,64.0,0.32791138
25.0,64.25,0.54763794
25.0,64.5,0.6286926
25.0,64.75,0.63552856
25.0,65.0,0.7956848
25.0,65.25,0.6716614
25.0,65.5,0.5271301
25.0,65.75,-0.115448
25.0,66.0,-1.1134949
25.0,66.25,-2.4250183
25.0,66.5,-3.309784
25.0,66.75,-3.374237
25.0,67.0,-2.7521667
25.0,67.25,-2.7687683
25.0,67.5,-2.9513855
25.0,67.75,-2.374237
25.0,68.0,-1.7687683
25.0,68.25,-1.2414246
25.0,68.5,-0.9650574
25.0,68.75,-0.78829956
25.0,69.0,-0.68966675
25.0,69.25,-0.740448
25.0,69.5,-0.8918152
25.0,69.75,-1.2677917
25.0,70.0,-1.5871277
25.0,70.25,-2.0666199
25.0,70.5,-2.6095886
25.0,70.75,-2.7502136
25.0,71.0,-2.6271667
25.0,71.25,-2.4074402
25.0,71.5,-2.0187683
25.0,71.75,-1.7384949
25.0,72.0,-1.7804871
25.0,72.25,-1.6388855
25.0,72.5,-1.7004089
25.0,72.75,-1.7726746
25.0,73.0,-1.756073
25.0,73.25,-1.9006042
25.0,73.5,-1.9357605
25.0,73.75,-0.9572449
25.0,74.0,-0.62716675
25.0,74.25,-0.849823
25.0,74.5,-0.9728699
25.0,74.75,-1.1252136
25.0,75.0,-1.4806824
25.0,75.25,-1.4621277
25.0,75.5,-1.3840027
25.0,75.75,-1.0607605
25.0,76.0,-0.6603699
25.0,76.25,-0.7170105
25.0,76.5,-0.7902527
25.0,76.75,-1.5539246
25.0,77.0,-1.9621277
25.0,77.25,-2.1769714
25.0,77.5,-2.3332214
25.0,77.75,-2.4142761
25.0,78.0,-1.6349792
25.0,78.25,-1.1808777
25.0,78.5,-1.3215027
25.0,78.75,-1.1965027
25.0,79.0,-0.9621277
25.0,79.25,-0.96017456
25.0,79.5,-1.1945496
25.0,79.75,-1.3302917
25.0,80.0,-1.2843933
25.0,80.25,-1.2101746
25.0,80.5,-1.3254089
25.0,80.75,-1.2170105
25.0,81.0,-0.6759949
25.0,81.25,-0.48849487
25.0,81.5,-0.39083862
25.0,81.75,-0.13497925
25.0,82.0,0.3142395
25.0,82.25,0.5193176
25.0,82.5,0.6706848
25.0,82.75,0.7156067
25.0,83.0,0.7419739
25.0,83.25,0.66677856
25.0,83.5,0.62576294
25.0,83.75,0.6091614
25.0,84.0,0.5036926
25.0,84.25,0.46365356
25.0,84.5,0.4187317
25.0,84.75,0.5359192
25.0,85.0,0.84939575
25.0,85.25,1.0466614
25.0,85.5,1.134552
25.0,85.75,1.0466614
25.0,86.0,1.572052
25.0,86.25,1.8367004
25.0,86.5,1.6999817
25.0,86.75,1.8406067
25.0,87.0,1.6765442
25.0,87.25,1.7527161
25.0,87.5,1.5984192
25.0,87.75,2.080841
25.0,88.0,2.4529114
25.0,88.25,2.165802
25.0,88.5,2.1218567
25.0,88.75,2.0212708
25.0,89.0,1.8406067
25.0,89.25,1.8425598
25.0,89.5,1.6843567
25.0,89.75,1.7458801
25.0,90.0,1.5710754
25.0,90.25,1.1609192
25.0,90.5,1.0134583
25.0,90.75,0.6130676
24.75,47.75,-2.669159
24.75,48.0,-2.3146667
24.75,48.25,-1.9621277
24.75,48.5,-1.7277527
24.75,48.75,-1.4084167
24.75,49.0,-0.7541199
24.75,49.25,-0.106658936
24.75,49.5,0.37478638
24.75,49.75,0.39920044
24.75,50.0,0.5115051
24.75,50.25,0.83865356
24.75,50.5,1.0837708
24.75,50.75,1.0388489
24.75,51.0,0.947052
24.75,51.25,1.3288879
24.75,51.5,1.8542786
24.75,51.75,1.8982239
24.75,52.0,1.7888489
24.75,52.25,1.7624817
24.75,52.5,1.8093567
24.75,52.75,2.0456848
24.75,53.0,2.2732239
24.75,53.25,2.6052551
24.75,53.5,2.9665833
24.75,53.75,3.3386536
24.75,54.0,3.8161926
24.75,54.25,3.7927551
24.75,54.5,3.6052551
24.75,54.75,2.7585754
24.75,55.0,1.6921692
24.75,55.25,1.0681458
24.75,55.5,0.20779419
24.75,55.75,-0.47677612
24.75,56.0,0.7497864
24.75,56.25,1.7566223
24.75,56.5,2.1911926
24.75,56.75,1.8865051
24.75,57.0,1.462677
24.75,57.25,1.4724426
24.75,57.5,1.7048645
24.75,57.75,1.5437317
24.75,58.0,1.0036926
24.75,58.25,0.27322388
24.75,58.5,-0.7951355
24.75,58.75,-0.6955261
24.75,59.0,-0.16329956
24.75,59.25,0.4441223
24.75,59.5,1.0115051
24.75,59.75,1.4294739
24.75,60.0,1.8728333
24.75,60.25,2.0671692
24.75,60.5,2.0544739
24.75,60.75,1.7322083
24.75,61.0,0.8669739
24.75,61.25,0.197052
24.75,61.5,-0.13302612
24.75,61.75,-0.017791748
24.75,62.0,-0.09786987
24.75,62.25,-0.19650269
24.75,62.5,-0.18185425
24.75,62.75,-0.10372925
24.75,63.0,0.18728638
24.75,63.25,0.39431763
24.75,63.5,0.6472473
24.75,63.75,0.7019348
24.75,64.0,0.8083801
24.75,64.25,0.7575989
24.75,64.5,0.7077942
24.75,64.75,0.556427
24.75,65.0,0.39138794
24.75,65.25,0.2673645
24.75,65.5,-0.39474487
24.75,65.75,-1.1418152
24.75,66.0,-2.483612
24.75,66.25,-3.7199402
24.75,66.5,-4.4982605
24.75,66.75,-4.273651
24.75,67.0,-3.6506042
24.75,67.25,-3.2267761
24.75,67.5,-3.0871277
24.75,67.75,-2.5090027
24.75,68.0,-1.8771667
24.75,68.25,-1.3478699
24.75,68.5,-1.1105652
24.75,68.75,-0.93966675
24.75,69.0,-0.7814636
24.75,69.25,-0.9416199
24.75,69.5,-1.0822449
24.75,69.75,-1.2550964
24.75,70.0,-1.5754089
24.75,70.25,-1.8820496
24.75,70.5,-2.3888855
24.75,70.75,-2.5275574
24.75,71.0,-2.4689636
24.75,71.25,-2.2482605
24.75,71.5,-1.9132996
24.75,71.75,-1.6144714
24.75,72.0,-1.6925964
24.75,72.25,-1.584198
24.75,72.5,-1.7355652
24.75,72.75,-1.7238464
24.75,73.0,-1.7072449
24.75,73.25,-1.8381042
24.75,73.5,-1.7687683
24.75,73.75,-0.60372925
24.75,74.0,-0.7922058
24.75,74.25,-1.0148621
24.75,74.5,-1.2257996
24.75,74.75,-1.3986511
24.75,75.0,-1.6554871
24.75,75.25,-1.5802917
24.75,75.5,-1.6300964
24.75,75.75,-1.3468933
24.75,76.0,-0.9465027
24.75,76.25,-0.77267456
24.75,76.5,-0.8009949
24.75,76.75,-1.4347839
24.75,77.0,-1.9797058
24.75,77.25,-2.1945496
24.75,77.5,-2.3009949
24.75,77.75,-2.309784
24.75,78.0,-1.5988464
24.75,78.25,-1.3322449
24.75,78.5,-1.4484558
24.75,78.75,-1.3537292
24.75,79.0,-1.1193542
24.75,79.25,-1.1496277
24.75,79.5,-1.302948
24.75,79.75,-1.6300964
24.75,80.0,-1.5392761
24.75,80.25,-1.4650574
24.75,80.5,-1.5148621
24.75,80.75,-1.3713074
24.75,81.0,-0.74142456
24.75,81.25,-0.60665894
24.75,81.5,-0.5138855
24.75,81.75,-0.012908936
24.75,82.0,0.4363098
24.75,82.25,0.53982544
24.75,82.5,0.6423645
24.75,82.75,0.6921692
24.75,83.0,0.5642395
24.75,83.25,0.48806763
24.75,83.5,0.6482239
24.75,83.75,0.69607544
24.75,84.0,0.50076294
24.75,84.25,0.20291138
24.75,84.5,0.17068481
24.75,84.75,0.29959106
24.75,85.0,0.6140442
24.75,85.25,0.6111145
24.75,85.5,0.6628723
24.75,85.75,0.6579895
24.75,86.0,1.0984192
24.75,86.25,1.3630676
24.75,86.5,1.7712708
24.75,86.75,1.8601379
24.75,87.0,1.6042786
24.75,87.25,1.7663879
24.75,87.5,1.4978333
24.75,87.75,1.5681458
24.75,88.0,1.9402161
24.75,88.25,1.9499817
24.75,88.5,1.9587708
24.75,88.75,1.8005676
24.75,89.0,1.7331848
24.75,89.25,1.7351379
24.75,89.5,1.8493958
24.75,89.75,1.9577942
24.75,90.0,1.8503723
24.75,90.25,1.7536926
24.75,90.5,1.6589661
24.75,90.75,1.4753723
24.5,47.75,-2.6632996
24.5,48.0,-2.296112
24.5,48.25,-1.9347839
24.5,48.5,-1.6808777
24.5,48.75,-1.3703308
24.5,49.0,-1.0763855
24.5,49.25,-0.52072144
24.5,49.5,-0.09689331
24.5,49.75,0.13064575
24.5,50.0,0.24490356
24.5,50.25,0.38650513
24.5,50.5,0.60720825
24.5,50.75,0.9138489
24.5,51.0,0.9675598
24.5,51.25,1.1638489
24.5,51.5,1.3659973
24.5,51.75,1.4021301
24.5,52.0,1.2361145
24.5,52.25,1.2615051
24.5,52.5,1.3757629
24.5,52.75,1.5671692
24.5,53.0,1.7781067
24.5,53.25,2.0896301
24.5,53.5,2.4519348
24.5,53.75,2.783966
24.5,54.0,3.2341614
24.5,54.25,3.0271301
24.5,54.5,2.5105286
24.5,54.75,1.6784973
24.5,55.0,1.1042786
24.5,55.25,0.6443176
24.5,55.5,0.027130127
24.5,55.75,-0.9406433
24.5,56.0,0.3113098
24.5,56.25,1.6521301
24.5,56.5,2.1208801
24.5,56.75,1.9021301
24.5,57.0,1.2488098
24.5,57.25,0.83865356
24.5,57.5,0.68045044
24.5,57.75,0.51638794
24.5,58.0,0.24783325
24.5,58.25,-0.42599487
24.5,58.5,-1.0568542
24.5,58.75,-0.94747925
24.5,59.0,-0.39474487
24.5,59.25,0.13748169
24.5,59.5,0.7107239
24.5,59.75,1.1911926
24.5,60.0,1.6775208
24.5,60.25,1.9441223
24.5,60.5,2.0056458
24.5,60.75,1.7077942
24.5,61.0,1.3659973
24.5,61.25,0.8191223
24.5,61.5,0.4206848
24.5,61.75,0.2986145
24.5,62.0,0.17752075
24.5,62.25,0.16677856
24.5,62.5,0.19314575
24.5,62.75,0.31619263
24.5,63.0,0.5642395
24.5,63.25,0.712677
24.5,63.5,0.6452942
24.5,63.75,0.6950989
24.5,64.0,0.56326294
24.5,64.25,0.45681763
24.5,64.5,0.26150513
24.5,64.75,-0.02267456
24.5,65.0,-0.271698
24.5,65.25,-0.83810425
24.5,65.5,-1.5207214
24.5,65.75,-2.6593933
24.5,66.0,-4.1007996
24.5,66.25,-5.070526
24.5,66.5,-5.2795105
24.5,66.75,-5.092987
24.5,67.0,-4.669159
24.5,67.25,-4.175995
24.5,67.5,-3.030487
24.5,67.75,-2.2863464
24.5,68.0,-1.6877136
24.5,68.25,-1.4494324
24.5,68.5,-1.2218933
24.5,68.75,-1.1886902
24.5,69.0,-1.0568542
