lat,lon,value
25.0,47.75,0.2096405
25.0,48.0,0.06315613
25.0,48.25,-0.3372345
25.0,48.5,-0.96614075
25.0,48.75,-1.2796173
25.0,49.0,-1.7083282
25.0,49.25,-2.0735626
25.0,49.5,-2.1272736
25.0,49.75,-2.266922
25.0,50.0,-2.414383
25.0,50.25,-2.5139923
25.0,50.5,-3.048172
25.0,50.75,-3.3499298
25.0,51.0,-2.978836
25.0,51.25,-2.7639923
25.0,51.5,-3.3391876
25.0,51.75,-4.0042267
25.0,52.0,-4.4710236
25.0,52.25,-4.9671173
25.0,52.5,-5.050125
25.0,52.75,-5.199539
25.0,53.0,-5.320633
25.0,53.25,-5.3264923
25.0,53.5,-5.320633
25.0,53.75,-5.124344
25.0,54.0,-4.8616486
25.0,54.25,-4.5696564
25.0,54.5,-3.9046173
25.0,54.75,-3.3421173
25.0,55.0,-2.0677032
25.0,55.25,-0.45539856
25.0,55.5,0.6578827
25.0,55.75,0.4235077
25.0,56.0,0.116867065
25.0,56.25,0.15983582
25.0,56.5,0.5670624
25.0,56.75,0.49772644
25.0,57.0,0.8844452
25.0,57.25,0.9410858
25.0,57.5,1.1881561
25.0,57.75,1.271164
25.0,58.0,1.7311249
25.0,58.25,1.7897186
25.0,58.5,1.6696014
25.0,58.75,1.2408905
25.0,59.0,0.7584686
25.0,59.25,0.23698425
25.0,59.5,-0.13703918
25.0,59.75,-0.46809387
25.0,60.0,-0.82063293
25.0,60.25,-1.3157501
25.0,60.5,-1.7659454
25.0,60.75,-1.9339142
25.0,61.0,-2.2522736
25.0,61.25,-2.0178986
25.0,61.5,-1.9563751
25.0,61.75,-2.0345001
25.0,62.0,-2.2366486
25.0,62.25,-2.1468048
25.0,62.5,-2.3479767
25.0,62.75,-2.0227814
25.0,63.0,-1.7415314
25.0,63.25,-1.4905548
25.0,63.5,-1.2034454
25.0,63.75,-1.1487579
25.0,64.0,-1.244461
25.0,64.25,-1.2893829
25.0,64.5,-1.5061798
25.0,64.75,-1.7415314
25.0,65.0,-1.7561798
25.0,65.25,-1.7259064
25.0,65.5,-1.5628204
25.0,65.75,-1.2298126
25.0,66.0,-0.7483673
25.0,66.25,-0.36946106
25.0,66.5,-0.89094543
25.0,66.75,-1.4241486
25.0,67.0,-2.2190704
25.0,67.25,-3.3313751
25.0,67.5,-4.09993
25.0,67.75,-4.4016876
25.0,68.0,-4.266922
25.0,68.25,-3.970047
25.0,68.5,-3.4524689
25.0,68.75,-3.3235626
25.0,69.0,-3.3372345
25.0,69.25,-3.2434845
25.0,69.5,-3.3899689
25.0,69.75,-3.5901642
25.0,70.0,-3.572586
25.0,70.25,-3.4427032
25.0,70.5,-3.516922
25.0,70.75,-3.9290314
25.0,71.0,-4.4397736
25.0,71.25,-4.6096954
25.0,71.5,-4.508133
25.0,71.75,-3.595047
25.0,72.0,-2.5716095
25.0,72.25,-1.9016876
25.0,72.5,-1.338211
25.0,72.75,-0.704422
25.0,73.0,0.14518738
25.0,73.25,1.0553436
25.0,73.5,0.670578
25.0,73.75,-0.39778137
25.0,74.0,-1.3557892
25.0,74.25,-1.5501251
25.0,74.5,-1.8089142
25.0,74.75,-1.6272736
25.0,75.0,-1.3684845
25.0,75.25,-1.369461
25.0,75.5,-1.6302032
25.0,75.75,-1.8470001
25.0,76.0,-1.7386017
25.0,76.25,-1.5608673
25.0,76.5,-1.0677032
25.0,76.75,-0.47981262
25.0,77.0,-0.17707825
25.0,77.25,0.15397644
25.0,77.5,0.33366394
25.0,77.75,0.43522644
25.0,78.0,-0.21516418
25.0,78.25,-0.69563293
25.0,78.5,-0.63801575
25.0,78.75,-0.68000793
25.0,79.0,-0.70051575
25.0,79.25,-0.55207825
25.0,79.5,-0.41145325
25.0,79.75,-0.32063293
25.0,80.0,-0.3811798
25.0,80.25,0.10417175
25.0,80.5,1.0338593
25.0,80.75,1.1803436
25.0,81.0,1.1266327
25.0,81.25,0.9313202
25.0,81.5,1.0240936
25.0,81.75,0.84928894
