lat,lon,value
25.0,47.75,2.518719
25.0,48.0,2.2676947
25.0,48.25,2.0746803
25.0,48.5,2.0351732
25.0,48.75,1.7525344
25.0,49.0,1.7929012
25.0,49.25,2.1013508
25.0,49.5,2.2743068
25.0,49.75,2.3886223
25.0,50.0,2.5643356
25.0,50.25,2.7815053
25.0,50.5,3.3592858
25.0,50.75,3.594598
25.0,51.0,3.1512644
25.0,51.25,3.1938763
25.0,51.5,3.9736946
25.0,51.75,4.6770344
25.0,52.0,5.031318
25.0,52.25,5.4125333
25.0,52.5,5.491107
25.0,52.75,5.732939
25.0,53.0,5.9709187
25.0,53.25,6.1333513
25.0,53.5,6.3668785
25.0,53.75,6.425575
25.0,54.0,6.452129
25.0,54.25,6.382498
25.0,54.5,5.8696856
25.0,54.75,5.2694654
25.0,55.0,3.6514106
25.0,55.25,1.7514338
25.0,55.5,0.7523628
25.0,55.75,0.5241381
25.0,56.0,0.98234874
25.0,56.25,1.9866952
25.0,56.5,2.3656318
25.0,56.75,2.0589
25.0,57.0,1.9336411
25.0,57.25,2.179278
25.0,57.5,2.534765
25.0,57.75,2.63866
25.0,58.0,2.477429
25.0,58.25,1.9719356
25.0,58.5,1.7048615
25.0,58.75,1.3036531
25.0,59.0,0.7693807
25.0,59.25,0.53379244
25.0,59.5,0.95015055
25.0,59.75,1.4162909
25.0,60.0,1.9097066
25.0,60.25,2.310446
25.0,60.5,2.5833664
25.0,60.75,2.335474
25.0,61.0,2.2960224
25.0,61.25,2.0699215
25.0,61.5,2.0863297
25.0,61.75,2.093239
25.0,62.0,2.266623
25.0,62.25,2.1968064
25.0,62.5,2.3871846
25.0,62.75,2.056402
25.0,63.0,1.7625979
25.0,63.25,1.5115721
25.0,63.5,1.2036511
25.0,63.75,1.1699111
25.0,64.0,1.2869378
25.0,64.25,1.4008625
25.0,64.5,1.632125
25.0,64.75,1.8538684
25.0,65.0,1.9280254
25.0,65.25,1.851994
25.0,65.5,1.6493253
25.0,65.75,1.2352196
25.0,66.0,1.3416126
25.0,66.25,2.4530013
25.0,66.5,3.4276018
25.0,66.75,3.6624684
25.0,67.0,3.5353494
25.0,67.25,4.3317595
25.0,67.5,5.0517426
25.0,67.75,5.0011854
25.0,68.0,4.6190004
25.0,68.25,4.1596165
25.0,68.5,3.584812
25.0,68.75,3.41577
25.0,69.0,3.4077523
25.0,69.25,3.3269289
25.0,69.5,3.5053136
25.0,69.75,3.8074367
25.0,70.0,3.909264
25.0,70.25,4.015361
25.0,70.5,4.3793483
25.0,70.75,4.795932
25.0,71.0,5.1588364
25.0,71.25,5.2004867
25.0,71.5,4.9395027
25.0,71.75,3.9933355
25.0,72.0,3.1278284
25.0,72.25,2.5104504
25.0,72.5,2.163839
25.0,72.75,1.9075077
25.0,73.0,1.7620646
25.0,73.25,2.1739473
25.0,73.5,2.04862
25.0,73.75,1.0366039
25.0,74.0,1.4938215
25.0,74.25,1.7677915
25.0,74.5,2.0539343
25.0,74.75,1.9784148
25.0,75.0,2.0162268
25.0,75.25,2.0033076
25.0,75.5,2.1384635
25.0,75.75,2.1299348
25.0,76.0,1.8597914
25.0,76.25,1.717676
25.0,76.5,1.3283409
25.0,76.75,1.6263154
25.0,77.0,1.970102
25.0,77.25,2.18241
25.0,77.5,2.3569586
25.0,77.75,2.453192
25.0,78.0,1.6490763
25.0,78.25,1.3705391
25.0,78.5,1.4674581
25.0,78.75,1.3762374
25.0,79.0,1.1901311
25.0,79.25,1.1075765
25.0,79.5,1.2634249
25.0,79.75,1.3683865
25.0,80.0,1.3397627
25.0,80.25,1.2146498
25.0,80.5,1.6809443
25.0,80.75,1.6953837
25.0,81.0,1.313876
25.0,81.25,1.051658
25.0,81.5,1.0961399
25.0,81.75,0.85994834
25.0,82.0,0.7707492
25.0,82.25,0.77181345
25.0,82.5,0.96092504
25.0,82.75,1.13693
25.0,83.0,1.2932655
25.0,83.25,1.4980496
25.0,83.5,1.3636489
25.0,83.75,1.0642974
25.0,84.0,0.84102255
25.0,84.25,0.79530025
25.0,84.5,0.88524735
25.0,84.75,1.040833
25.0,85.0,1.3992791
25.0,85.25,1.6173996
25.0,85.5,1.8719356
25.0,85.75,1.6353383
25.0,86.0,2.1398954
25.0,86.25,2.0673356
25.0,86.5,1.7256541
25.0,86.75,1.845726
25.0,87.0,1.6785342
25.0,87.25,1.7534326
25.0,87.5,1.6185101
25.0,87.75,2.2864423
25.0,88.0,2.818397
25.0,88.25,2.489646
25.0,88.5,2.394062
25.0,88.75,2.3200946
25.0,89.0,2.2450576
25.0,89.25,2.2278275
25.0,89.5,2.248533
25.0,89.75,2.279839
25.0,90.0,2.1159048
25.0,90.25,1.8102577
25.0,90.5,1.5006758
25.0,90.75,0.98184586
24.75,47.75,2.7269173
24.75,48.0,2.336149
24.75,48.25,1.9742112
24.75,48.5,1.9593825
24.75,48.75,2.1074467
24.75,49.0,2.1340961
24.75,49.25,2.3016212
24.75,49.5,2.381558
24.75,49.75,2.3970761
24.75,50.0,2.596131
24.75,50.25,2.7746315
24.75,50.5,2.9525158
24.75,50.75,3.1280584
24.75,51.0,3.1881754
24.75,51.25,3.5431461
24.75,51.5,4.3808527
24.75,51.75,5.004202
24.75,52.0,5.4027166
24.75,52.25,5.442987
24.75,52.5,5.5394974
24.75,52.75,5.664815
24.75,53.0,5.7616663
24.75,53.25,5.9058175
24.75,53.5,5.986303
24.75,53.75,6.0084114
24.75,54.0,6.11774
24.75,54.25,5.7125573
24.75,54.5,5.0100064
24.75,54.75,3.642864
24.75,55.0,2.0198355
24.75,55.25,1.324128
24.75,55.5,0.42729566
24.75,55.75,0.7331583
24.75,56.0,0.7513955
24.75,56.25,1.7566332
24.75,56.5,2.1941354
